,Date,Price,Number Sold,Item
117,2015-12-27,4.172,208,Righteous Thunderbolt
118,2015-12-28,4.167,205,Righteous Thunderbolt
119,2015-12-29,4.18,226,Righteous Thunderbolt
120,2015-12-30,4.255,172,Righteous Thunderbolt
121,2015-12-31,4.386,167,Righteous Thunderbolt
122,2016-01-01,4.285,149,Righteous Thunderbolt
123,2016-01-02,4.2,181,Righteous Thunderbolt
124,2016-01-03,4.148,147,Righteous Thunderbolt
125,2016-01-04,3.981,149,Righteous Thunderbolt
126,2016-01-05,4.003,120,Righteous Thunderbolt
127,2016-01-06,4.065,109,Righteous Thunderbolt
128,2016-01-07,4.023,107,Righteous Thunderbolt
129,2016-01-08,4.039,137,Righteous Thunderbolt
130,2016-01-09,4.03,146,Righteous Thunderbolt
131,2016-01-10,4.045,142,Righteous Thunderbolt
132,2016-01-11,4.035,119,Righteous Thunderbolt
133,2016-01-12,4.119,109,Righteous Thunderbolt
134,2016-01-13,4.059,104,Righteous Thunderbolt
135,2016-01-14,4.044,101,Righteous Thunderbolt
136,2016-01-15,4.05,111,Righteous Thunderbolt
137,2016-01-16,4.03,148,Righteous Thunderbolt
138,2016-01-17,4.097,148,Righteous Thunderbolt
139,2016-01-18,4.033,120,Righteous Thunderbolt
140,2016-01-19,4.046,95,Righteous Thunderbolt
141,2016-01-20,4.022,74,Righteous Thunderbolt
142,2016-01-21,4.054,95,Righteous Thunderbolt
143,2016-01-22,4.05,98,Righteous Thunderbolt
144,2016-01-23,4.074,108,Righteous Thunderbolt
145,2016-01-24,4.045,96,Righteous Thunderbolt
146,2016-01-25,4.052,99,Righteous Thunderbolt
147,2016-01-26,4.094,93,Righteous Thunderbolt
148,2016-01-27,3.964,91,Righteous Thunderbolt
149,2016-01-28,3.522,116,Righteous Thunderbolt
150,2016-01-29,3.809,113,Righteous Thunderbolt
151,2016-01-30,3.916,99,Righteous Thunderbolt
152,2016-01-31,3.846,88,Righteous Thunderbolt
153,2016-02-01,3.792,70,Righteous Thunderbolt
154,2016-02-02,3.811,80,Righteous Thunderbolt
155,2016-02-03,3.738,77,Righteous Thunderbolt
156,2016-02-04,3.643,89,Righteous Thunderbolt
157,2016-02-05,3.737,86,Righteous Thunderbolt
158,2016-02-06,3.633,99,Righteous Thunderbolt
159,2016-02-07,3.621,99,Righteous Thunderbolt
160,2016-02-08,3.714,77,Righteous Thunderbolt
161,2016-02-09,3.581,64,Righteous Thunderbolt
162,2016-02-10,3.644,67,Righteous Thunderbolt
163,2016-02-11,3.585,76,Righteous Thunderbolt
164,2016-02-12,3.529,104,Righteous Thunderbolt
165,2016-02-13,3.527,123,Righteous Thunderbolt
166,2016-02-14,3.49,102,Righteous Thunderbolt
167,2016-02-15,3.514,122,Righteous Thunderbolt
168,2016-02-16,3.607,92,Righteous Thunderbolt
169,2016-02-17,3.628,82,Righteous Thunderbolt
170,2016-02-18,3.502,82,Righteous Thunderbolt
171,2016-02-19,3.48,94,Righteous Thunderbolt
172,2016-02-20,3.456,103,Righteous Thunderbolt
173,2016-02-21,3.517,117,Righteous Thunderbolt
174,2016-02-22,3.545,99,Righteous Thunderbolt
175,2016-02-23,3.527,117,Righteous Thunderbolt
176,2016-02-24,3.553,102,Righteous Thunderbolt
177,2016-02-25,3.53,90,Righteous Thunderbolt
178,2016-02-26,3.583,126,Righteous Thunderbolt
179,2016-02-27,3.623,125,Righteous Thunderbolt
180,2016-02-28,3.718,141,Righteous Thunderbolt
181,2016-02-29,3.813,95,Righteous Thunderbolt
182,2016-03-01,3.772,104,Righteous Thunderbolt
